,,,,,popular beat choices,,,mean total values,,,,,,,,,
,,mean score,poor results,,first,second,,beat,phase,tempo,tempos' sum,,normal_time_on_beat,normal_time_off_beat,double_time,half_time_odd_beat,half_time_even_beat
ground truth (sanity),,1,0,,normal_time_on_beat,,,1,1,1,1,,,,,,
essentia_multifeature,,0.8106,2,,normal_time_on_beat,normal_time_off_beat,,0.810603552,0.86885522,0.8106,0.8106,,21,3,1,0,0
ellis_beat2,,0.79967,3,,double,normal_time_on_beat,,0.79967,0.79967,0.79967,0.884813914,,8,2,15,0,0
Btrack,,0.53382,10,,normal_time_on_beat,normal_time_off_beat,,0.53382,0.53382,0.53382,0.770135074,,15,7,1,0,2
IBT,,0.747085253,6, ,normal_time_on_beat,normal_time_off_beat,,0.747085253,0.805003725,0.845548514,0.856077432,,19,4,1,1,0
,,, ,,,,,,,,,,,,,,
r2b2_aggregator,,0.65074,3,,normal_time_on_beat,normal_time_off_beat,,0.650738075,0.699069367,0.902165346,0.910434668,,12,6,3,2,2
r2b2_master,,0.32679,9,,normal_time_on_beat,double_time,,0.326798945,0.536395403,0.666169568,0.741208298,,12,2,11,0,0
r2b3,,0.446594469,9,,normal_time_on_beat,double_time,,0.446594469,0.61429917,0.690834884,0.723597295,,13,4,8,0,0
r2b3_1,,0.482178748,9,,normal_time_on_beat,double_time,,0.482178748,0.638998973,0.701456303,0.732865683,,14,3,8,0,0
r2b3_2,,0.485325924,8,,normal_time_on_beat,double_time,,0.485325924,0.613449792,0.78354521,0.805166638,,15,2,8,0,0
